"Country","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007"
"Alaska",2.10963445177788,2.04150349687507,2.31056920432081,2.39866868598158,2.29915375214677,2.10648082950748,2.15249226748424,2.32293860183005,2.37775926432505,2.18362420774352
"Albania",0.319989361086957,0.276304537666667,0.29131827707971,0.299796379427536,0.272557828507246,0.250940604963768,0.316709252478261,0.266054119224638,0.335379962384058,0.316749406217391
"Algeria",0.26112722999376,0.283109847224649,0.267312915683307,0.294944870588924,0.274250825351014,0.25389113724103,0.262281262134945,0.247171128199688,0.306724897559282,0.315175628736349
"American Samoa",0.0520351407820513,0.0576118371955128,0.0489474145737179,0.0537782133557692,0.0664615860352564,0.0696362803717949,0.0551195355576923,0.064432987900641,0.0491731166185897,0.055902504676282
"Andaman and Nicobar",0.332588836887919,0.234738984975839,0.228980721246309,0.237895945045638,0.222832875269128,0.209895353109396,0.228311147130872,0.223807550279195,0.214162584918121,0.236363587701342
"Angola",2.10147062585696,2.23849052887786,1.97010074055911,2.01282928361855,2.36518857348269,2.05988714918354,2.03930593407838,2.16094572757609,2.51708405448726,2.25472560372436
"Anguilla",0.102425908032558,0.104116476795349,0.107272107083721,0.108276533186047,0.105351214334884,0.0966077937395349,0.0958831606744186,0.0930984237488372,0.102329253739535,0.0986320553813953
"Antarctica",1.14180188526231,1.22383729669453,1.32192164551554,1.32390541667192,1.15207971122895,0.863565617979784,0.99600916777701,0.957264984232903,1.32929567956004,1.20396821834974
"Antigua and Barbuda",0.141097107091324,0.125446076881279,0.137945858155251,0.13830361877169,0.136640684958904,0.119499738461187,0.121503063232877,0.122992786456621,0.121715070497717,0.133132588972603
"Argentina",2.08730950537599,1.80404224522383,1.73323911904705,2.03258755266887,2.14435530264974,1.96862172643558,1.78265608975484,1.81515956565259,1.85737669225088,1.98595869456508
"Australia",0.612488973894145,0.596826195604354,0.583711435027418,0.587765848625159,0.572195080845567,0.593229568664174,0.58644532082578,0.580288679239483,0.595602189591281,0.586710838771657
"Azores",0.183798639434748,0.199330382833467,0.191440243802242,0.256513935165733,0.305192965472378,0.25059358234988,0.156114354915933,0.184103259051241,0.18486368603763,0.176106360939952
"Bahamas",0.514806128616129,0.513356570582581,0.487300622552903,0.49471679367,0.47544639505871,0.508682052012581,0.51632323759,0.488547691763871,0.489145206131935,0.532953231116774
"Bahrain",2.35829840818293,2.02121306095122,2.17197834373171,2.19731714540244,2.25325433185366,2.24897717841463,2.19825602917073,2.2722032539878,2.33765138480488,2.45112747743902
"Bangladesh",4.42519120027542,4.19362367189619,3.79636434823517,3.92092372452966,3.75027490214407,3.90826421794068,3.95227147028178,4.03482164533686,3.64546729402542,4.20906804273305
"Barbados",0.158426653958838,0.245483844053269,0.217339104549637,0.297073140079903,0.223681371464891,0.292006458484261,0.202616775300242,0.182547957072639,0.180979636946731,0.324167691397094
"Belgium",4.30531243157407,6.51419289187037,4.84742327648148,7.30497448042593,5.01321928938889,6.18854892525926,4.33576012262963,3.89050583162963,4.12519197001852,7.62081036727778
"Belize",0.667003406138776,0.648592019281633,0.577660358779592,0.539761579106122,0.576933387677551,0.528117826787755,0.535520553469388,0.667786198493878,0.587064723979592,0.553300807616326
"Benin",0.470735903371901,0.474067615892562,0.49877223138843,0.351838127595041,0.46020277468595,0.585480334909091,0.394395793173554,0.488617019090909,0.631760675024793,0.591864068190083
"Bermuda",0.141469103585242,0.112443770310433,0.115254591264631,0.127797935109415,0.110304926938931,0.110897967048346,0.11484248664631,0.114271315124682,0.141543544793893,0.117290649374046
"Bouvet Island",0.234911225037783,0.226978607390428,0.380188355498741,0.194933033221662,0.189026055755667,0.286313865677582,0.221891733083123,0.312767554586902,0.250036159496222,0.246316059833753
"Brazil",1.79986215054205,1.63521429136688,1.73025911242909,1.74447076752451,1.73534059819896,1.72115001635238,1.52320105026247,1.50711661417155,1.69292424906888,1.73876963522129
"British Indian Ocean Territory",0.141117446123515,0.162706273102138,0.142754152057007,0.149475234562945,0.160770875900238,0.13261204723753,0.147017367434679,0.151587928182898,0.163295654356295,0.145732188790974
"British Virgin Islands",0.136107805989071,0.125709392508197,0.136803784431694,0.129145284120219,0.125434286142076,0.125703039557377,0.13200981526776,0.116774061650273,0.126844213098361,0.122227014836066
"Bulgaria",1.625085416268,2.457351084948,1.807626706328,2.141032998776,1.59058009338,1.028048402324,1.286282261364,1.448876148852,1.759703433444,1.099112338944
"Cambodia",0.529048422522936,0.549350014206422,0.537917852857798,0.540112449472477,0.529039425880734,0.607765220582569,0.513599321889908,0.579651030775229,0.488143150417431,0.566593664619266
"Cameroon",3.18799167880645,3.62861609812097,4.02953134699194,3.62910082009677,3.58761357387903,2.76916465777419,5.39557225098387,4.12537991930645,3.95044851748387,4.0923153966371
"Canada",1.62553736918048,1.58192175976015,1.70750885203591,1.64701884541453,1.68720569232772,1.5559575244755,1.5431287849451,1.58359780846526,1.84363510474674,1.684224473147
"Canary Islands",0.190852724294258,0.218660332199761,0.172723197072967,0.155501205906699,0.165409005853469,0.158370536843301,0.161196732653708,0.190141757861244,0.175587536986244,0.173012361654306
"Cape Verde",1.27929729464334,0.555612241883591,0.3345549404613,0.333652877507121,0.270790433404334,0.309211280839009,0.282152590657585,0.256458831585139,0.293983873276161,0.357600303635294
"Cayman Islands",0.112451734721719,0.1048214385,0.102786567721719,0.104645311701357,0.102650968325792,0.103620896861991,0.0962578711561086,0.104539101142534,0.100881599536199,0.104422855968326
